SMILES	MOA
CN1CCC2=C(C1)c1ccccc1Cc1ccccc21	adrenergic receptor antagonist
Cn1cc(nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(c2)C(N)=O)cc1)C(F)(F)F	adrenergic receptor antagonist
CN1C[C@@H](C=C2[C@H]1Cc1c[nH]c3cccc2c13)C(=O)N[C@]1(C)O[C@@]2(O)C3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	adrenergic receptor antagonist
CN(C)CCN(C)CCc1ccc(Cl)c(Cl)c1	adrenergic receptor antagonist
CCS(=O)(=O)N1CCC[C@@H]2CN3CCc4cc(OC)ccc4[C@@H]3C[C@H]12	adrenergic receptor antagonist
CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(c1)S(N)(=O)=O	adrenergic receptor antagonist
CCOc1ccccc1O[C@@H]([C@H]1CNCCO1)c1ccccc1.CCOc1ccccc1O[C@H]([C@@H]1CNCCO1)c1ccccc1	adrenergic receptor antagonist
CCOC(=O)NNc1ccc(nn1)N(CC)CC(C)O	adrenergic receptor antagonist
CCn1ccnc1CC1COc2ccccc2O1	adrenergic receptor antagonist
CCN(CC)CCOC(=O)C(CC1CCCO1)Cc1cccc2ccccc12	adrenergic receptor antagonist
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O	adrenergic receptor antagonist
CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c1c(CCCC)oc2ccc(NS(C)(=O)=O)cc12	adrenergic receptor antagonist
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1	adrenergic receptor antagonist
CCCCc1ccc(nc1)C(N)=O	adrenergic receptor antagonist
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O	adrenergic receptor antagonist
CCCC(=O)N1CCCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1	adrenergic receptor antagonist
CCCC(=O)c1cc(F)ccc1OCC(O)CNC(C)(C)C	adrenergic receptor antagonist
CCc1ccccc1OC[C@@H](O)CN[C@H]1CCCc2ccccc12	adrenergic receptor antagonist
CCC1(Cc2ccccc2O1)C1=NCCN1	adrenergic receptor antagonist
CCC1(Cc2ccccc2C1)c1cnc[nH]1	adrenergic receptor antagonist
Cc1noc(COc2ccccc2OCC(O)CNC(C)(C)C)n1	adrenergic receptor antagonist
CC1N(CC2=NCCN2)Cc2ccccc12	adrenergic receptor antagonist
Cc1ccccc1OCC(O)CNCCOc1ccc(cc1)C(N)=O	adrenergic receptor antagonist
Cc1ccccc1N1CCN(CCc2nnc3CCCCn23)CC1	adrenergic receptor antagonist
Cc1cccc(OCC(O)CNC(C)(C)C)c1C	adrenergic receptor antagonist
Cc1ccc(NC2=NCCN2)c(Cl)c1	adrenergic receptor antagonist
Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1	adrenergic receptor antagonist
Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1	adrenergic receptor antagonist
Cc1cc2c(OCC(CNC(C)(C)C)OC(=O)c3ccccc3)cccc2[nH]1	adrenergic receptor antagonist
Cc1c[nH]c(=O)n(CCCN2CCN(CC2)c2ccccc2OCC(F)(F)F)c1=O	adrenergic receptor antagonist
CC1(CN)Cc2ccccc2C1	adrenergic receptor antagonist
CC1(C)OC[C@@H](COC(=O)CCc2ccc(OC[C@@H](O)CNCCNC(=O)N3CCOCC3)cc2)O1	adrenergic receptor antagonist
CC[C@@]12CCCN3CCc4c([C@H]13)n(c1ccccc41)[C@@](O)(C2)C(=O)OC	adrenergic receptor antagonist
CC[C@@]12CCCN3CCc4c([C@H]13)n(C(=O)C2)c1ccccc41	adrenergic receptor antagonist
CC(COc1ccccc1)N(CCCl)Cc1ccccc1	adrenergic receptor antagonist
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O	adrenergic receptor antagonist
CC(C)NCC(O)COc1ccccc1OCC=C	adrenergic receptor antagonist
CC(C)NCC(O)COc1ccccc1-n1cccc1	adrenergic receptor antagonist
CC(C)NCC(O)COc1ccccc1CC=C	adrenergic receptor antagonist
CC(C)NC[C@@H](O)COc1cccc2ccccc12	adrenergic receptor antagonist
CC(C)NCC(O)COc1cccc2[nH]ccc12	adrenergic receptor antagonist
CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12	adrenergic receptor antagonist
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1	adrenergic receptor antagonist
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	adrenergic receptor antagonist
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1	adrenergic receptor antagonist
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1	adrenergic receptor antagonist
CC(C)NCC(O)COc1cc(C)c(OC(C)=O)c(C)c1C	adrenergic receptor antagonist
CC(C)NCC(O)c1ccc2ccccc2c1	adrenergic receptor antagonist
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	adrenergic receptor antagonist
CC(C)NCC(O)c1ccc(cc1)[N+]([O-])=O	adrenergic receptor antagonist
CC(C)N[C@@H](C)[C@H](O)COc1ccc(C)c2CCCc12	adrenergic receptor antagonist
CC(C)c1cc(OC(C)=O)c(C)cc1OCCN(C)C	adrenergic receptor antagonist
CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1	adrenergic receptor antagonist
CC(C)(C)NCC(O)CSc1nc(cs1)-c1ccc(s1)C(N)=O	adrenergic receptor antagonist
CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12	adrenergic receptor antagonist
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12	adrenergic receptor antagonist
CC(C)(C)NC[C@@H](O)COc1cccc2C(=O)CCCc12	adrenergic receptor antagonist
CC(C)(C)NCC(O)COc1cccc2[nH]c(cc12)C#N	adrenergic receptor antagonist
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	adrenergic receptor antagonist
CC(C)(C)NCC(O)COc1cc(Cl)ccc1Cl	adrenergic receptor antagonist
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1	adrenergic receptor antagonist
CC(C)(C)NC[C@@H](O)COc1nsnc1N1CCOCC1	adrenergic receptor antagonist
C1CNC(N1)=C1COc2ccccc2O1	adrenergic receptor antagonist
C1CN=C(N1)C1COc2ccccc2O1	adrenergic receptor antagonist
C[C@H](Cc1cc2CCN(CCCO)c2c(c1)C(N)=O)NCCOc1ccccc1OCC(F)(F)F	adrenergic receptor antagonist
C(C1=NCCN1)c1ccccc1	adrenergic receptor antagonist
OCCOCCOC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F	cyclooxygenase inhibitor
OCC(O)COC(=O)c1ccccc1Nc1ccnc2c(cccc12)C(F)(F)F	cyclooxygenase inhibitor
OC[C@H]1O[C@@H](O[C@@H]2OC=C([C@H]3CC=C(CO)[C@@H]23)C(O)=O)[C@H](O)[C@@H](O)[C@@H]1O	cyclooxygenase inhibitor
OC(=O)COc1nn(Cc2ccccc2)c2ccccc12	cyclooxygenase inhibitor
OC(=O)CCNC(=O)c1ccc(cc1)N=Nc1ccc(O)c(c1)C(O)=O	cyclooxygenase inhibitor
OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1	cyclooxygenase inhibitor
OC(=O)CCC(=O)c1ccc(cc1)-c1ccccc1	cyclooxygenase inhibitor
OC(=O)Cc1sc(nc1-c1ccc(Cl)cc1)-c1ccccc1	cyclooxygenase inhibitor
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	cyclooxygenase inhibitor
OC(=O)Cc1ccc(OCC=C)c(Cl)c1	cyclooxygenase inhibitor
OC(=O)Cc1ccc(cc1)-c1ccccc1	cyclooxygenase inhibitor
OC(=O)C1CCn2c1ccc2C(=O)c1ccccc1	cyclooxygenase inhibitor
OC(=O)c1cccnc1Nc1cccc(c1)C(F)(F)F	cyclooxygenase inhibitor
OC(=O)c1cc(ccc1O)\N=N\c1ccc(O)c(c1)C(O)=O	cyclooxygenase inhibitor
OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1	cyclooxygenase inhibitor
O=c1n2CCc3c([nH]c4ccccc34)-c2nc2ccccc12	cyclooxygenase inhibitor
O=C1N2Cc3ccccc3C(=O)N2Cc2ccccc12	cyclooxygenase inhibitor
O=C1c2ccccc2-n2c1nc1ccccc1c2=O	cyclooxygenase inhibitor
NS(=O)(=O)c1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(F)(F)F	cyclooxygenase inhibitor
NNC(=O)c1ccncc1	cyclooxygenase inhibitor
NCCCC[C@H](N)C(O)=O.Cc1c(Cl)cccc1Nc1ncccc1C(O)=O	cyclooxygenase inhibitor
NCCCC[C@H](N)C(O)=O.CC(C)Cc1ccc(cc1)C(C)C(O)=O	cyclooxygenase inhibitor
Nc1ccc(C(O)=O)c(O)c1	cyclooxygenase inhibitor
Nc1c(CC(O)=O)cccc1C(=O)c1ccccc1	cyclooxygenase inhibitor
Nc1c(CC(O)=O)cccc1C(=O)c1ccc(Br)cc1	cyclooxygenase inhibitor
NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc12	cyclooxygenase inhibitor
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N	cyclooxygenase inhibitor
FC(F)(F)c1cccc(Nc2ncccc2C(=O)OC2OC(=O)c3ccccc23)c1	cyclooxygenase inhibitor
CS(=O)(=O)Nc1ccc(cc1Oc1ccccc1)[N+]([O-])=O	cyclooxygenase inhibitor
CS(=O)(=O)c1ccc(cc1)-c1cc(Br)sc1-c1ccc(F)cc1	cyclooxygenase inhibitor
CS(=O)(=O)c1ccc(cc1)C1=C(C(=O)OC1)c1ccccc1	cyclooxygenase inhibitor
COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C	cyclooxygenase inhibitor
COc1ccccc1OC(=O)C(C)c1ccc(CC(C)C)cc1	cyclooxygenase inhibitor
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1	cyclooxygenase inhibitor
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(O)=O)c2c1	cyclooxygenase inhibitor
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(C(O)=O)c3ccccc3)c2c1	cyclooxygenase inhibitor
COc1ccc2cc(ccc2c1)C(C)C(=O)Oc1ccc(cc1)C(N)=S	cyclooxygenase inhibitor
COc1ccc2cc(ccc2c1)[C@H](C)C(O)=O	cyclooxygenase inhibitor
COc1ccc2cc(CCC(C)=O)ccc2c1	cyclooxygenase inhibitor
COc1ccc(cc1F)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)F	cyclooxygenase inhibitor
COc1ccc(cc1)-n1nc(cc1-c1ccc(Cl)cc1)C(F)(F)F	cyclooxygenase inhibitor
COc1ccc(cc1)-c1noc(CC(O)=O)c1-c1ccc(OC)cc1	cyclooxygenase inhibitor
COc1ccc(cc1)-c1nc(sc1-c1ccc(OC)cc1)C(=O)N1CCN(C)CC1	cyclooxygenase inhibitor
COc1ccc(cc1)C(=O)c1c(C)n(CCN2CCOCC2)c2ccccc12	cyclooxygenase inhibitor
COc1cc(OC)c(C=O)cc1OC	cyclooxygenase inhibitor
COc1cc(C)nn1-c1nc(C)cc(OC)n1	cyclooxygenase inhibitor
CN1CCOC(c2ccccc2)c2ccccc2C1	cyclooxygenase inhibitor
CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O	cyclooxygenase inhibitor
CN1C(C(=O)Nc2ncc(C)s2)C(=O)c2ccccc2S1(=O)=O	cyclooxygenase inhibitor
CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O	cyclooxygenase inhibitor
CN1C(C(=O)Nc2ccccn2)C(=O)c2sc(Cl)cc2S1(=O)=O	cyclooxygenase inhibitor
CN1C(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O	cyclooxygenase inhibitor
CN1C(C(=O)Nc2cc(C)on2)C(=O)c2ccccc2S1(=O)=O	cyclooxygenase inhibitor
CCOc1ccc(NC(C)=O)cc1	cyclooxygenase inhibitor
CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)c2ccccc12)C(=O)Nc1ccccn1	cyclooxygenase inhibitor
CCOC(=O)Cc1ccc(cc1)-c1ccccc1	cyclooxygenase inhibitor
CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1	cyclooxygenase inhibitor
CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CCOC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)CC1)NC(=O)c1ccccc1	cyclooxygenase inhibitor
CCCCOc1ccc(CC(=O)NO)cc1	cyclooxygenase inhibitor
CCCCOC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F	cyclooxygenase inhibitor
CCCCC1C(=O)N(N(C1=O)c1ccc(O)cc1)c1ccccc1	cyclooxygenase inhibitor
CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)c1ccccc1)c1ccccc1	cyclooxygenase inhibitor
CCCC1C(=O)N2N(C1=O)c1cc(C)ccc1N=C2N(C)C	cyclooxygenase inhibitor
CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12	cyclooxygenase inhibitor
CCC(C(O)=O)c1ccc(CC(C)C)cc1	cyclooxygenase inhibitor
CCC(=O)NS(=O)(=O)c1ccc(cc1)-c1c(C)onc1-c1ccccc1	cyclooxygenase inhibitor
Cc1oncc1C(=O)N1CCCCC1	cyclooxygenase inhibitor
Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1	cyclooxygenase inhibitor
Cc1nc[nH]c1-c1ccc(Cl)cc1	cyclooxygenase inhibitor
Cc1cccc(Nc2ccccc2C(O)=O)c1C	cyclooxygenase inhibitor
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(O)=O)c1	cyclooxygenase inhibitor
Cc1ccc(cn1)-c1ncc(Cl)cc1-c1ccc(cc1)S(C)(=O)=O	cyclooxygenase inhibitor
Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F	cyclooxygenase inhibitor
Cc1ccc(cc1)C(=O)c1ccc(CC(O)=O)n1C	cyclooxygenase inhibitor
Cc1cc(=O)n(-c2ccccc2)n1C	cyclooxygenase inhibitor
Cc1c(N)c(=O)n(-c2ccccc2)n1C	cyclooxygenase inhibitor
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C/c1ccc(cc1)S(C)=O	cyclooxygenase inhibitor
CC1(C)OC(=O)C(OCC2CC2)=C1c1ccc(cc1)S(C)(=O)=O	cyclooxygenase inhibitor
CC(Cc1ccccc1)N(C)Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C	cyclooxygenase inhibitor
CC(C)Nc1c(C)n(C)n(-c2ccccc2)c1=O	cyclooxygenase inhibitor
CC(C)n1c2cc(C)ccc2c(nc1=O)-c1ccccc1	cyclooxygenase inhibitor
CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O	cyclooxygenase inhibitor
CC(C)Cc1ccc(cc1)C(C)C(=O)OCc1ccccn1	cyclooxygenase inhibitor
CC(C)Cc1ccc(cc1)C(C)C(=O)NCCO	cyclooxygenase inhibitor
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc2Sc3ccccc3C(=O)Cc2c1	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc2Oc3ncccc3Cc2c1	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc-2c(Cc3ccccc-23)c1	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc(s1)C(=O)c1ccccc1	cyclooxygenase inhibitor
CC(C(O)=O)c1ccc(cc1)C(=O)c1cccs1	cyclooxygenase inhibitor
C[C@H](C(O)=O)c1ccc(c(F)c1)-c1ccccc1	cyclooxygenase inhibitor
CC(C(=O)Nc1cc(C)ccn1)c1cccc(c1)C(=O)c1ccccc1	cyclooxygenase inhibitor
CC(=O)Oc1ccccc1C(O)=O	cyclooxygenase inhibitor
CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(O)=O	cyclooxygenase inhibitor
CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+]([O-])=O)c1	cyclooxygenase inhibitor
CC(=O)Nc1ccc(O)cc1	cyclooxygenase inhibitor
CC(=O)c1ccc(NS(C)(=O)=O)c(Oc2ccc(F)cc2F)c1	cyclooxygenase inhibitor
OCCNC(=O)Cn1ccnc1[N+]([O-])=O	bacterial cell wall synthesis inhibitor
O[C@@H](C(=O)N[C@H]1[C@H]2SCC(CSc3nnnn3CS(O)(=O)=O)=C(N2C1=O)C(O)=O)c1ccccc1	bacterial cell wall synthesis inhibitor
Nc1nc(cs1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
Nc1nc(cs1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
Nc1nc(cs1)C(=C\CC(O)=O)\C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
NC(=O)OC[C@@H]1[C@H](NC(=O)C(=N/OCC(O)=O)\c2csc(N)n2)C(=O)N1S(O)(=O)=O	bacterial cell wall synthesis inhibitor
NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)Cc2cccs2)C3=O)C(O)=O)cc1	bacterial cell wall synthesis inhibitor
NC(=O)c1cc[n+](CC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@@H](c2ccccc2)S(O)(=O)=O)C3=O)C(O)=O)cc1	bacterial cell wall synthesis inhibitor
N[C@@H]1CONC1=O	bacterial cell wall synthesis inhibitor
N[C@@H](C(=O)NC1C2CCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1	bacterial cell wall synthesis inhibitor
N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1	bacterial cell wall synthesis inhibitor
COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC)\c1csc(N)n1)C2=O)C(=O)OC(C)OC(=O)OC(C)C	bacterial cell wall synthesis inhibitor
COc1cccc(OC)c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CO\N=C(\C(=O)NC1C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(\C(=O)NC1C2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[n+]3cccc4CCCc34)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(=O)c(O)nn3C)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC(=O)c3ccco3)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)c1ccco1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(=O)OC(C)OC(C)=O)c1ccco1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(Cn3ccc(=N)n3CCO)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccn4ncccc34)=C(N2C1=O)C(O)=O)c1nsc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C)=C(N2C1=O)C(O)=O)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/c3scnc3C)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)c1csc(N)n1	bacterial cell wall synthesis inhibitor
CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CO[C@]1(NC(=O)CSC[C@@H](N)C(O)=O)[C@H]2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CO[C@]1(NC(=O)Cc2cccs2)[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)C2SCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CO[C@]1(NC(=O)[C@H](C(O)=O)c2ccc(O)cc2)[C@H]2OCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O	bacterial cell wall synthesis inhibitor
CNC(CC(C)C)C(=O)NC1C(O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)C(OC5CC(C)(N)C(O)C(C)O5)C5NC(=O)C(NC(=O)C4NC(=O)C(CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1C(NC5=O)C(O)=O)c3OC1OC(CO)C(O)C(O)C1OC1CC(C)(NCc3ccc(cc3)-c3ccc(Cl)cc3)C(O)C(C)O1)c(Cl)c2	bacterial cell wall synthesis inhibitor
Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](OC=O)c1ccccc1)C2=O)C(O)=O	bacterial cell wall synthesis inhibitor
Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(O)=O	bacterial cell wall synthesis inhibitor
CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]5NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1[C@H](NC5=O)C(O)=O)c3O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]1C[C@](C)(N)[C@H](O)[C@H](C)O1)c(Cl)c2	bacterial cell wall synthesis inhibitor
CN[C@@H]1c2ccc(O)c(Oc3cc(O)c(Cl)c(c3)[C@@H]3NC(=O)[C@@H](Cc4ccc(Oc5cc6cc(Oc7ccc(cc7Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]6NC3=O)c3ccc(O)c(c3)-c3c(O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]6O)cc(O)cc3[C@H](NC7=O)C(=O)NCCCN(C)C)c5O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)C(O)=O)cc4)NC1=O)c2	bacterial cell wall synthesis inhibitor
CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(N)n1)C2=O)C(O)=O	bacterial cell wall synthesis inhibitor
