plate,well,site,bf_site,compound,C1,C2,C3,C4,C5,moa
P015076,D13,s2,s1,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w1472F4529-1266-44B3-8016-F0A0A5BC6F9E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w219C0C413-EBF8-4DA7-9FD8-55E062C97740.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w381A40DD0-F584-4E75-9A9C-B2A01255D436.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w47BEA55A9-0C84-466C-8D2F-ACF31FB99AF8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s2_w5C41C91D8-D0B0-47E1-8114-495AB7703EFE.tif,dmso
P015076,D13,s4,s2,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w1562C0C9C-DCB2-4B24-8D90-D90A94B22501.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w25ECCA951-C017-418C-BDFD-E01E183416E4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w362CD182C-3CEF-47EF-A311-56A47652A596.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w4B7C79166-D9DE-4AD9-AB39-CC0452354714.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s4_w55932BB13-4312-4E3E-9E99-53A899DD4B58.tif,dmso
P015076,D13,s5,s3,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w1784EB810-63E9-4913-AC40-E3A633CB9E28.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w20A492B4E-ACE1-4711-928C-82790107A0AF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w34EA56D27-DEBA-473D-9236-C6F4766413BD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w47998B3DA-8A68-44D9-88BD-9BB829629B03.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s5_w527E1CAB0-F641-492E-A57B-7332DB25D1A5.tif,dmso
P015076,D13,s6,s4,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w1532220B6-6759-48FB-8015-CBB41AE4E9A5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w2CB1FC6FD-3056-4CBE-9696-E9992D5D202B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w3B4D7DDB7-739A-468A-B98F-CFF79ACEF80A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w41CBD3879-EE69-46FF-AB46-DA9EBBB820CA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s6_w56623E3A9-8632-4F08-879B-2F2C20309AD0.tif,dmso
P015076,D13,s8,s5,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w1E1464742-71C9-4CE3-971A-AFFAB0CCBECF.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w243D64B13-D194-4925-9BED-70D361AE4D74.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w302D6AB10-A0DD-4604-9468-47DF5AEE8A10.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w4F8E64A27-0666-44B7-A024-44AFD55B3671.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D13_s8_w513D002A7-6AB8-4C8C-AB4E-092343328EA7.tif,dmso
P015076,D22,s2,s1,CBK201029,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w1A71AB837-F29E-4F5E-9D82-149022B19755.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w27AEAD879-2525-4BF8-97F6-277A37B7F085.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w319A95EBA-C64A-4D86-901D-37170FC1C48F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w4DB3BC2BD-DC07-4787-8B42-956142AC731B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s2_w548DD63AB-5B6B-49CA-ACBA-EC009E390F74.tif,protein synthesis inhibitor
P015076,D22,s4,s2,CBK201029,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w14A6AB763-1A72-4F59-A0D2-FCB071726CB1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w2D32BB8C5-1592-40CC-85E4-BDAFBA80B4C7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w3E59C2185-6D87-4501-85D1-F6FA4069A1F1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w4914A8FF9-440E-41B2-8A97-82C164917D9B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s4_w5BA4C8416-D209-4886-B7CD-52A925996A5B.tif,protein synthesis inhibitor
P015076,D22,s5,s3,CBK201029,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w14CF46D4F-2523-4278-A95A-6F9CD9A1911D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w242A3F2A4-D08A-4DD9-9788-1A039C2B8DEE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w31411DAA3-D611-4DB4-8418-CB14603BDFE2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w447726A07-4A23-42E5-B324-BBA53B86701A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s5_w5BF208B73-474A-4C95-B4B6-F2B89FA81AFF.tif,protein synthesis inhibitor
P015076,D22,s6,s4,CBK201029,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w1384AF957-BBB3-4105-A11F-303F7E517894.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w28CC5D74C-9577-4568-966E-6FA0662DAE23.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w326BC294F-9C61-4B22-8DCD-36030A1DFF7A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w47226162F-E131-4A1C-97B9-74D56737E4F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s6_w5681F8705-BA06-4390-8AAD-FF89E8909AF5.tif,protein synthesis inhibitor
P015076,D22,s8,s5,CBK201029,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w1FB483EA3-D28C-4A30-8E8A-CBDA1F5E842E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w2CD1A81C1-76A5-4F04-87A3-84D9EBC2F9D0.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w309F000C8-E5F1-4E50-A552-1CFCF2942449.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w4BCBBA823-0348-4FE9-AC98-526F6A172B8D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_D22_s8_w589DD2FC1-92D5-4585-90C7-555469DBE124.tif,protein synthesis inhibitor
P015076,E23,s2,s1,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w14EA6DBEE-67E7-4F03-BE9A-147CB70D56C1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w2DE80356A-1AD2-45EE-BEF6-6808FEB76B7C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w3D02C136D-DB65-4CDC-A58C-840B4622904B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w4BF1B7940-B373-48F4-BBA6-E7233B29E399.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s2_w51900D8C3-B7FC-4459-9E33-9550B70F0AB0.tif,topoisomerase inhibitor
P015076,E23,s4,s2,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w1F17FC2CF-CAB6-4B92-83AF-32FC6FFD7693.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w298EF6E88-3646-4F5D-A67D-0FC8AA87C470.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w37A3C7EE0-24CE-4D7A-BF21-7CFD6016D0AD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w48FE91FFE-35F0-4A7A-9D85-E36849267931.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s4_w52B224E90-C5AE-4C56-A83C-E70B1C7E1168.tif,topoisomerase inhibitor
P015076,E23,s5,s3,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w1B469A408-41DB-483B-A4E3-EDE0329C13F6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w2DF466FF6-C398-49AB-956C-10BD316E00A7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w3D47ECF0B-570C-4049-B4B6-13E078619DF5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w464FF1401-4414-434C-BA77-5FD8FA6693B3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s5_w50704ADDB-E486-4D3A-90C2-B888ADCCF111.tif,topoisomerase inhibitor
P015076,E23,s6,s4,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w1C02E1C26-D116-460A-84EF-13BF636C173C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w20B759B99-B4AF-4C81-B5DE-630DBFDB80AE.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w3FBF95094-94DA-432D-8984-B8AEE4A93E46.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w4F53756E2-36EA-4F95-AA9A-E232B6584B52.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s6_w53745E3D1-CF1C-4883-93D4-C2247A0A9060.tif,topoisomerase inhibitor
P015076,E23,s8,s5,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w16DFA3130-A2F4-42D5-8B16-B18ACDEA6EE8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w29CBC9F3A-DFE6-453A-9727-14239E6BF1C6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w3C270A64B-EB52-4FAD-87FE-8EFCE8EA27B7.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w44CA29FB7-3B28-4D06-8A32-290F213F1EB6.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_E23_s8_w59E4A2A29-9146-4DE8-A8B1-F00D5D5960EF.tif,topoisomerase inhibitor
P015076,H08,s2,s1,CBK200601,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w1FC3D628F-1BCB-42CC-BCEB-C1D5FEC50DAD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w22B9ACE59-0E52-4656-9803-3C0D9ACC5F1C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w3B33F1254-C5F7-41D5-A524-5B30675E3C3B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w40CDCE379-71A2-446B-8119-1284EFE18ABD.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s2_w5DE5095A9-1CE9-445A-A78F-AB4CB3ECDBD3.tif,retinoid receptor agonist
P015076,H08,s4,s2,CBK200601,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w1305E3910-0201-40F9-ACD5-5D38BF2FE07A.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w21CAC3C98-709C-4443-9BB1-A06D61EC93DB.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w3823439C4-69DB-4F5B-A5AA-E8FF83DA46A5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w42E9DE6BB-36DB-4855-B4E3-05C9129DC26B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s4_w573D23AF4-FF16-4250-8159-5D791C4DAE97.tif,retinoid receptor agonist
P015076,H08,s5,s3,CBK200601,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w1B9B22582-7633-4F5F-B2CF-CE4B8001C878.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w24F7C5727-F781-4EE8-86C9-B4EA8A14C2C8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w34CA41DA1-571F-4619-A82D-63226EFDFB2F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w40E10B929-8C7E-485D-8D9F-EAB5DE811614.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s5_w5A6AFB5DD-B725-4220-8153-FE79D4DE39FA.tif,retinoid receptor agonist
P015076,H08,s6,s4,CBK200601,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w10B4D3FCF-DF43-4BAB-A6E7-50F06669B631.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w2AA577AB5-1793-459F-AC60-69EB8A3D5E5F.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w36450269D-4DF3-4366-8120-427DC8312083.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w427DDB4E5-0308-4254-B45B-0ED429E8670E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s6_w56D474DDF-4DCC-4EB1-9F9C-4E93E77C2B4F.tif,retinoid receptor agonist
P015076,H08,s8,s5,CBK200601,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w14045C6F6-8845-43D6-83AB-BECE942963EA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w20C2EA749-67B1-41DC-A295-9ABCFE0495E9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w33016ECB2-A726-48E0-9080-ACD3DC3379B5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w4D34F77C2-5B93-410E-B279-C12144BED3E8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H08_s8_w5B684CCE2-0987-4BA6-BF39-0A9AA784395C.tif,retinoid receptor agonist
P015076,H13,s2,s1,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w17E9B18CC-B42B-4F12-91EB-2222B415602D.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w2552E16F2-D28F-43CA-A623-C507C5916BFA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w342A46D1B-E962-43D8-A916-B0D9B84C8CE4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w4F1219871-181A-4834-8780-35FAEF77FE2B.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s2_w5166F0348-158D-477D-AFD5-FCBC5A551975.tif,topoisomerase inhibitor
P015076,H13,s4,s2,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w1609B3AAA-79E7-46E9-ADD4-D651F7181C08.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w24C3E4D23-0DA2-45CF-8ADA-88C93C7BD353.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w34CC897C5-7922-485E-8CF0-3C2EFA6CD7A4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w434CEB3E5-C1A9-4EFB-B6AE-315B83E617D2.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s4_w5313161D4-8152-40AF-B7E8-466B7D1C600F.tif,topoisomerase inhibitor
P015076,H13,s5,s3,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w12F815305-8BCB-41F5-AC4E-65BC35B7C969.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w29B3F95B3-695D-4D5E-9685-C475698F6E74.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w3C2DBBDAC-E54B-48D2-8C57-3149D34E2FB8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w4F59D7691-6E86-4C8D-9B9C-C50BEF4B8EAA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s5_w5A9BFCC79-B51D-4DD7-AAC1-B593D116F6B0.tif,topoisomerase inhibitor
P015076,H13,s6,s4,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w14EC6D56D-A508-4DF2-9527-03E1D5C97EB1.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w28572C0E5-B446-43A7-8100-B7128DC61CA3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w3C42E530E-CB14-4BA2-AA03-10F2051E8405.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w4EB61D27C-5629-4529-98FB-929AF1765BE4.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s6_w5A735B931-5823-4DD7-9B86-D8BCDD1CEF9F.tif,topoisomerase inhibitor
P015076,H13,s8,s5,CBK041182,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w132C9F381-186B-4B2E-ABC5-BA6AF6FC97F3.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w2B146A0F8-8F0F-4B2D-91B5-BF0C9DBA2733.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w3612A2067-F9BD-4756-812E-E5AB4EFEBDE5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w415C64413-93F2-42A9-BC58-94CC9E5CA191.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H13_s8_w5BF605F8F-A5E8-4DAD-A2BD-74DB42B2ABB8.tif,topoisomerase inhibitor
P015076,H16,s2,s1,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s2_w1D62D8CCE-1BB1-4859-A279-BF2960B93CCA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s2_w2349B5686-1667-4E05-8E61-9FA615CDD00E.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s2_w36DCF1623-FDE3-4076-9EEE-C7964C8E06A5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s2_w48DD9D49F-60BB-4D1D-949F-CAFE4C56BA34.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s2_w5A3E265A7-87F7-423B-A376-5A4132E5584D.tif,dmso
P015076,H16,s4,s2,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s4_w14D800222-1819-4541-AD59-8D3D598FF8A8.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s4_w2FEB06B5D-7B54-4D9A-9C13-AEC4C0090ED5.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s4_w3E3320E8B-A104-4E1F-BDCC-30859C4FFA9C.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s4_w4C0148565-5CFF-434E-B884-AC13DA692675.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s4_w5B2608EE0-C43C-433D-ACF0-15266C776327.tif,dmso
P015076,H16,s5,s3,dmso,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s5_w18C38D594-306C-489E-A2F4-90DCA00160B9.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s5_w285B2A2D3-1440-4762-B66B-C48B6F396523.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s5_w37B2D908B-402B-4B02-A389-3B6FFB36F800.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s5_w47A996BBB-357E-4ED8-92A4-86683D1FC5FA.tif,specs935-v1-FA-P015076-U2OS-48h-P1-L1_H16_s5_w53DBAC5B1-E646-4688-A3B7-697EED5F49C8.tif,dmso
